mirna	target_gene	score
hsa-miR-379-3p	LPAR1	0.6700309
hsa-miR-6819-3p	LHX2	0.67001545
hsa-miR-3613-3p	CNN3	0.67000955
hsa-miR-6809-5p	TSPAN18	0.6699454
hsa-miR-5703	SRL	0.66989255
hsa-miR-3658	GPC6	0.6698907
hsa-miR-513a-3p	PAWR	0.6698703
hsa-miR-3613-3p	TGFB2	0.6698678
hsa-miR-590-3p	THEMIS	0.66985965
hsa-miR-4782-5p	PTGER4	0.66982913
hsa-miR-1207-5p	ITM2C	0.6698222
hsa-miR-4771	INHBA	0.6698012
hsa-miR-383-5p	IRF1	0.6697921
hsa-miR-3137	CLEC9A	0.66975975
hsa-miR-410-3p	SMAD6	0.6697255
hsa-miR-106b-5p	CD69	0.66968584
hsa-miR-335-3p	GNG2	0.6696732
hsa-miR-5002-5p	IFI27	0.6696668
hsa-miR-570-3p	ROBO2	0.6696662
hsa-miR-1299	DISC1	0.6696597
hsa-miR-545-3p	DGKH	0.6696591
hsa-miR-635	CD69	0.66962993
hsa-miR-4659a-3p	HIF1A	0.66958845
hsa-miR-4297	SHISA6	0.66958714
hsa-miR-513a-5p	ROR1	0.6695714
hsa-miR-2117	PELI2	0.6695629
hsa-miR-223-5p	PCDH11Y	0.66955143
hsa-miR-2116-5p	ADAM12	0.6695383
hsa-miR-196a-1-3p	PRTG	0.6695267
hsa-miR-4505	PDGFB	0.6694976
hsa-miR-20a-5p	KIF26B	0.6694904
hsa-miR-548as-5p	PCDH11X	0.66948295
hsa-miR-495-5p	ZFP36L1	0.6694289
hsa-miR-548ak	NOTCH2	0.6694261
hsa-miR-4713-5p	KCNE4	0.66941273
hsa-miR-6867-5p	CA8	0.66937673
hsa-miR-4775	DTHD1	0.66932625
hsa-miR-320b	CXCL14	0.6693074
hsa-miR-6807-3p	MAMDC2	0.6692161
hsa-miR-7110-3p	ENTPD1	0.669211
hsa-miR-373-3p	TMEM100	0.6691779
hsa-miR-548bc	GABRG1	0.66915673
hsa-miR-29b-3p	ADAMTS7	0.669149
hsa-miR-8082	JARID2	0.66913956
hsa-miR-450a-2-3p	CD69	0.6691186
hsa-miR-548c-5p	DNAJB4	0.66908675
hsa-miR-411-3p	IL10	0.66908604
hsa-miR-376a-2-5p	EPHA7	0.6690819
hsa-miR-942-5p	LRP8	0.66906637
hsa-miR-548as-5p	SIX4	0.6690449
hsa-miR-511-5p	PARD3	0.6689677
hsa-miR-3662	ERBB4	0.6689194
hsa-miR-3121-3p	DPP10	0.66891694
hsa-miR-6887-3p	MYO10	0.66891164
hsa-miR-363-3p	PAPSS2	0.6689113
hsa-miR-6895-3p	KCNIP1	0.6688894
hsa-miR-559	GABPB1	0.66886455
hsa-miR-17-5p	SMOC1	0.66885704
hsa-miR-5011-5p	TEK	0.66883427
hsa-miR-4311	RBMS3	0.66882235
hsa-miR-200c-3p	FSTL1	0.6688221
hsa-miR-548am-3p	NHLH2	0.66881174
hsa-miR-23a-3p	PLEKHH2	0.668795
hsa-miR-548n	TRDN	0.66877675
hsa-miR-30d-5p	BCOR	0.66877574
hsa-miR-5787	PLXDC2	0.66875684
hsa-miR-3175	THRSP	0.66875577
hsa-miR-379-3p	ZFHX4	0.66875076
hsa-miR-579-3p	GDPD2	0.6687332
hsa-miR-498-5p	TBC1D4	0.6687077
hsa-miR-186-5p	SCN9A	0.6686963
hsa-miR-4528	PALM2AKAP2	0.66869265
hsa-miR-18a-5p	SOX6	0.66869235
hsa-miR-10399-5p	TGFBR3	0.6686686
hsa-miR-5688	P4HA2	0.66862947
hsa-miR-410-3p	ARHGAP29	0.6686234
hsa-miR-6770-5p	ZFHX4	0.6685863
hsa-miR-1283	ARHGEF26	0.66854954
hsa-miR-10522-5p	CYSLTR2	0.66854733
hsa-miR-200c-3p	RIPK2	0.6684464
hsa-miR-6074	CALCRL	0.66843075
hsa-miR-520c-3p	GPC6	0.6684275
hsa-miR-93-5p	GLIS3	0.6683942
hsa-miR-96-5p	ZFP36L1	0.66839147
hsa-miR-548am-5p	SLCO5A1	0.66838706
hsa-miR-374c-5p	NFIL3	0.668383
hsa-miR-486-3p	ATF3	0.6683813
hsa-miR-100-3p	FBN2	0.6683811
hsa-miR-4729	ABCC4	0.6683709
hsa-miR-10394-5p	PDE3B	0.66836405
hsa-miR-4470	MECOM	0.6682936
hsa-miR-5692a	EGR1	0.6682907
hsa-miR-4786-5p	SLC22A7	0.668261
hsa-miR-5195-3p	GJA3	0.6682605
hsa-miR-4455	TP53I11	0.6682554
hsa-miR-3617-3p	TNF	0.66822904
hsa-miR-32-3p	STK17B	0.6681503
hsa-miR-140-5p	LHFPL2	0.66814345
hsa-miR-381-3p	PHACTR2	0.6681223
hsa-miR-1304-3p	PARD3B	0.6680957
hsa-miR-3148	TGFBR1	0.66808736
hsa-miR-4267	DNAJA4	0.6680776
hsa-miR-6733-3p	PADI2	0.6680333
hsa-miR-6832-5p	PDK4	0.66797054
hsa-miR-651-3p	STON2	0.6679684
hsa-miR-18b-5p	RUNX1	0.6679145
hsa-miR-15b-5p	MASP1	0.66790354
hsa-miR-20a-5p	HEG1	0.66788083
hsa-miR-4795-3p	NEUROD6	0.667827
hsa-miR-190a-3p	SVIL	0.6678234
hsa-miR-199b-5p	RBPMS	0.66781163
hsa-miR-204-3p	KCNE4	0.6677721
hsa-miR-4720-3p	ATP11C	0.667733
hsa-miR-374c-3p	PCDH17	0.6677259
hsa-miR-1910-5p	SOX6	0.6677059
hsa-miR-548aq-3p	CNTNAP2	0.667704
hsa-miR-137-3p	SLC1A5	0.66767615
hsa-miR-199a-5p	RGMA	0.6676534
hsa-miR-363-3p	PAX3	0.6676401
hsa-miR-373-5p	SLA2	0.6676369
hsa-miR-30d-3p	ROR1	0.6675702
hsa-miR-548aa	SEMA6A	0.6675643
hsa-miR-548ay-5p	BEND7	0.66754043
hsa-miR-5571-5p	PLEKHG2	0.6675344
hsa-miR-208b-5p	DTHD1	0.66751045
hsa-miR-2276-3p	RBMS3	0.6675023
hsa-let-7d-5p	ATP8B4	0.6674795
hsa-miR-30d-5p	ARHGAP29	0.6674625
hsa-miR-6870-3p	PLXNA2	0.6674609
hsa-miR-2113	ITGAX	0.6674549
hsa-miR-5696	RHOJ	0.6673656
hsa-miR-548g-5p	RSPO3	0.667351
hsa-miR-8068	EPHA7	0.66732764
hsa-miR-3192-5p	PTGIS	0.6673235
hsa-miR-6869-5p	NAMPT	0.6673003
hsa-miR-937-5p	PALM2AKAP2	0.66727847
hsa-miR-5004-3p	SPON1	0.6672685
hsa-miR-548m	LPP	0.6672431
hsa-miR-548ak	MTFR1	0.66724247
hsa-miR-6831-5p	SVIL	0.6672076
hsa-miR-4646-5p	TIMP3	0.6671574
hsa-miR-548g-5p	SOX6	0.66713303
hsa-miR-607	GEM	0.66712105
hsa-miR-215-3p	SULF1	0.667118
hsa-miR-510-3p	ELOVL7	0.6670999
hsa-miR-1910-3p	UST	0.6670927
hsa-miR-548d-3p	BCOR	0.6670785
hsa-miR-369-3p	VAV3	0.6670595
hsa-miR-1283	RAI14	0.66705877
hsa-miR-506-3p	CHSY1	0.6670308
hsa-miR-186-5p	PYGO1	0.6670225
hsa-miR-3689e	GLRA2	0.6670113
hsa-miR-4784	SGCZ	0.6670007
hsa-miR-647	NFATC2	0.6669929
hsa-miR-19a-3p	STK32B	0.6669819
hsa-miR-548aq-3p	GNG2	0.66697496
hsa-miR-6770-5p	THSD7A	0.6669612
hsa-miR-125b-5p	MCTP2	0.6669345
hsa-miR-518a-5p	ENTPD1	0.6669293
hsa-miR-524-5p	EPHA7	0.66690964
hsa-miR-5692a	SCN9A	0.66689277
hsa-miR-3919	TGFBR2	0.6668661
hsa-miR-520d-3p	QRSL1	0.66683084
hsa-miR-6867-5p	OLR1	0.66683
hsa-miR-3928-3p	RREB1	0.6668212
hsa-miR-9983-3p	SEMA6A	0.6667844
hsa-miR-30e-3p	MTHFD2	0.6667728
hsa-miR-4698	NOTCH3	0.66676754
hsa-miR-6830-5p	DUSP4	0.6667653
hsa-miR-6894-3p	ATP10A	0.66676223
hsa-miR-548ap-5p	BEND7	0.66676074
hsa-miR-3617-3p	PFN2	0.6667464
hsa-miR-548h-3p	NAMPT	0.6667163
hsa-miR-6867-5p	SEMA3E	0.66670567
hsa-miR-4802-3p	DNAJB1	0.66667384
hsa-miR-4731-3p	KIF26B	0.66661507
hsa-miR-3646	GPC6	0.66660607
hsa-miR-548n	EMP1	0.6665883
hsa-miR-1185-1-3p	EYS	0.66652364
hsa-miR-130a-3p	HEG1	0.6665064
hsa-miR-130a-3p	HS3ST5	0.66648996
hsa-miR-3129-3p	CCL4	0.6664824
hsa-miR-4803	ROBO2	0.6664792
hsa-miR-320c	GPCPD1	0.66647536
hsa-miR-4273	CDH12	0.6664347
hsa-miR-32-5p	KLF2	0.6664073
hsa-miR-6516-3p	TLL1	0.66639817
hsa-miR-4705	P2RY12	0.6663912
hsa-miR-152-3p	PHACTR2	0.6663904
hsa-miR-1257	MSR1	0.6663756
hsa-miR-204-5p	PTPRD	0.66636705
hsa-miR-548z	FLI1	0.66636616
hsa-miR-23b-3p	SLC4A4	0.66635
hsa-miR-30d-5p	FRZB	0.6663132
hsa-miR-5579-3p	PELI1	0.6662819
hsa-miR-4731-5p	GFAP	0.6662272
hsa-miR-5011-5p	PHACTR2	0.66622204
hsa-miR-944	ERG	0.666196
hsa-miR-30c-5p	NR4A2	0.66617084
hsa-miR-6126	RIMKLB	0.66616887
hsa-miR-3609	TNFSF13B	0.6661505
hsa-miR-6832-5p	GJC1	0.6661399
hsa-miR-4804-3p	KIAA1217	0.6661377
hsa-miR-6072	DCX	0.66610265
hsa-miR-7114-5p	MAFF	0.6660773
hsa-miR-148b-3p	SIX4	0.66607296
hsa-miR-7-1-3p	TAL1	0.66607136
hsa-miR-19a-3p	TMEM47	0.6660645
hsa-miR-4659a-3p	TNFAIP3	0.66603464
hsa-miR-216a-3p	EPHB2	0.66603225
hsa-miR-519a-5p	RELL1	0.66600275
hsa-miR-6837-3p	RBM47	0.66597754
hsa-miR-130a-3p	NPNT	0.6659671
hsa-miR-450a-1-3p	ROR1	0.66592985
hsa-miR-515-5p	IL6	0.6659029
hsa-miR-30b-5p	PDGFRB	0.66590077
hsa-miR-5692b	COL27A1	0.6658491
hsa-let-7a-3p	KCNJ15	0.6658443
hsa-miR-4533	DUSP4	0.6658432
hsa-miR-485-3p	NXPH1	0.665832
hsa-miR-545-5p	PCDH11X	0.6658028
hsa-miR-15b-5p	PLXNA4	0.6657991
hsa-miR-646	EPHB2	0.6657969
hsa-miR-6823-3p	CXCL12	0.66578126
hsa-miR-4525	PVALB	0.6657431
hsa-miR-363-5p	ITGBL1	0.6657314
hsa-miR-4708-5p	MMP2	0.66566586
hsa-miR-607	RBM47	0.6656647
hsa-miR-17-5p	FNBP1L	0.66565394
hsa-miR-3646	CNR1	0.66563153
hsa-miR-7-2-3p	BHLHE22	0.6656301
hsa-miR-92b-3p	CD69	0.6656048
hsa-miR-3662	TRIM25	0.6655809
hsa-miR-208b-5p	FREM2	0.6655439
hsa-miR-12136	CPED1	0.6655371
hsa-miR-4311	PAG1	0.66553247
hsa-miR-513a-5p	SEMA6A	0.6655313
hsa-miR-5706	CXCL8	0.66549534
hsa-miR-203a-5p	CEMIP	0.66548496
hsa-miR-616-5p	TRDN	0.66547847
hsa-miR-608	PODXL	0.66544724
hsa-miR-5580-3p	ANO4	0.66543925
hsa-miR-4659b-3p	CNR1	0.6654369
hsa-miR-92b-3p	XYLT2	0.665414
hsa-miR-548o-5p	S1PR1	0.6653988
hsa-miR-6879-3p	MOXD1	0.6653912
hsa-miR-4273	SULF1	0.6653741
hsa-miR-148b-3p	CASZ1	0.66536534
hsa-miR-5004-3p	COL8A1	0.66533726
hsa-miR-664a-3p	IL17RB	0.66533685
hsa-miR-3127-3p	MPP2	0.6653177
hsa-miR-1910-3p	PLXNA2	0.665305
hsa-miR-4672	KIT	0.6652943
hsa-miR-3180-5p	ABCG2	0.6652506
hsa-miR-6875-3p	CDH18	0.6652496
hsa-miR-4726-5p	BACH2	0.66524756
hsa-miR-577	TRHDE	0.6651836
hsa-miR-4262	KLHL29	0.66517824
hsa-miR-4716-5p	ZFHX4	0.6651774
hsa-miR-200c-3p	SULF1	0.66516703
hsa-miR-1284	KLF6	0.66512626
hsa-miR-297	DISC1	0.665106
hsa-miR-6794-5p	MAMDC2	0.66510475
hsa-miR-5590-5p	IL1R1	0.6650904
hsa-miR-518a-5p	SAMD4A	0.66504484
hsa-miR-132-3p	ZNF516	0.66503286
hsa-miR-5006-5p	FOXO1	0.6649697
hsa-miR-3121-3p	TSHZ2	0.66495997
hsa-miR-26a-5p	PAG1	0.66490746
hsa-miR-3714	TLL1	0.6649031
hsa-miR-450b-5p	TTN	0.6649007
hsa-miR-520b-5p	GALNT15	0.66489977
hsa-miR-1252-3p	ATP10A	0.66489536
hsa-miR-3130-3p	PEG10	0.66489446
hsa-miR-30b-3p	SH3BP2	0.6648654
hsa-miR-6734-5p	MASP1	0.6648501
hsa-miR-1915-3p	MAFF	0.6648043
hsa-miR-5692a	FGF2	0.6647955
hsa-miR-1185-1-3p	PLEKHG1	0.6647676
hsa-miR-6893-5p	CCDC80	0.66475445
hsa-miR-6867-5p	NCAN	0.6647287
hsa-miR-491-3p	COL4A4	0.6647248
hsa-miR-5590-5p	EBF1	0.6647207
hsa-let-7c-5p	VAV3	0.6647177
hsa-miR-4422	RND3	0.6646993
hsa-miR-302f	NEUROD6	0.66467893
hsa-miR-466	KIT	0.6646542
hsa-miR-548ad-5p	BEND7	0.66463494
hsa-miR-6128	SOX6	0.66462725
hsa-miR-16-5p	SOX6	0.66462433
hsa-miR-513b-5p	FSTL5	0.6646122
hsa-miR-3617-3p	PALLD	0.6645952
hsa-miR-145-5p	BACH2	0.66455895
hsa-miR-186-5p	PEG3	0.6645304
hsa-miR-3942-3p	GPC6	0.66451186
hsa-miR-3924	MERTK	0.66448504
hsa-miR-548ah-3p	COL1A1	0.6644826
hsa-miR-7-2-3p	GABPB1	0.66447663
hsa-miR-3163	RBMS3	0.6644711
hsa-miR-6733-3p	PLXDC2	0.6644655
hsa-miR-129-2-3p	LHFPL2	0.6644479
hsa-miR-6126	TGFBR1	0.66438055
hsa-miR-212-5p	IRF2BPL	0.6643745
hsa-miR-6809-5p	LPP	0.6643686
hsa-miR-27b-3p	EPB41L4A	0.66436005
hsa-miR-3202	CSF1	0.66435987
hsa-miR-30e-3p	PDK4	0.6643481
hsa-miR-183-3p	MEX3A	0.66434515
hsa-miR-181b-3p	XBP1	0.66432834
hsa-miR-410-3p	TBX4	0.66429424
hsa-miR-3646	NPL	0.66426563
hsa-miR-127-5p	NRP1	0.66425824
hsa-miR-4303	TBX19	0.66423774
hsa-miR-942-3p	ADAMTS6	0.66423535
hsa-miR-3924	TGFBR2	0.66421616
hsa-miR-29b-3p	FSTL1	0.6642121
hsa-miR-26a-5p	SLC4A4	0.66413397
hsa-miR-338-5p	GCNT2	0.664113
hsa-miR-877-3p	CRISPLD1	0.6640901
hsa-miR-5696	CRISPLD1	0.6640547
hsa-miR-330-3p	LRP8	0.66398317
hsa-miR-548ah-5p	PDK4	0.6639789
hsa-miR-1185-2-3p	ZNRF3	0.66397494
hsa-miR-5002-5p	LRRTM1	0.6639364
hsa-let-7a-3p	ID1	0.6639268
hsa-miR-25-3p	XYLT2	0.66391957
hsa-miR-4306	NPNT	0.6639099
hsa-miR-450b-5p	MCC	0.66390294
hsa-miR-363-3p	SOX4	0.66390026
hsa-miR-6715a-3p	PRDM1	0.6638579
hsa-miR-1286	PLXNA4	0.6638434
hsa-miR-502-3p	SEMA3C	0.6638413
hsa-miR-5590-5p	CEMIP2	0.66382754
hsa-miR-6732-3p	FNBP1L	0.66380286
hsa-miR-4470	KCNE4	0.66378856
hsa-miR-542-3p	ZIC1	0.6637825
hsa-miR-762	HSPB6	0.6637721
hsa-miR-6764-3p	ID1	0.66372544
hsa-miR-5589-3p	MAP3K1	0.66367567
hsa-miR-548f-5p	TP63	0.66365856
hsa-miR-2681-5p	OGN	0.66365075
hsa-miR-6844	PTGS2	0.6636181
hsa-miR-376a-3p	SLC7A2	0.6636096
hsa-miR-6124	SEMA3E	0.66359437
hsa-miR-579-3p	GLIS3	0.6635695
hsa-miR-6873-3p	STON2	0.6635274
hsa-miR-3658	RANBP3L	0.66342634
hsa-let-7f-1-3p	LRRC32	0.6634
hsa-miR-124-3p	KLF6	0.6633999
hsa-miR-3646	RNF144B	0.6633383
hsa-miR-32-3p	SLIT2	0.66333246
hsa-miR-6766-5p	PHOX2A	0.66332823
hsa-miR-3166	LYN	0.66330343
hsa-miR-181d-5p	DISC1	0.66330004
hsa-miR-6852-3p	PLXNA2	0.66329634
hsa-miR-1265	ZBTB2	0.66329134
hsa-miR-144-3p	SPARCL1	0.6632831
hsa-miR-16-5p	TGFBR3	0.6632814
hsa-miR-520c-3p	TMEM100	0.66326624
hsa-miR-654-3p	GLRA2	0.66326123
hsa-miR-4477b	PEG3	0.6632541
hsa-miR-548d-3p	IL6R	0.6632406
hsa-miR-12136	PCDH15	0.6632243
hsa-miR-3148	FBN2	0.66322064
hsa-miR-508-3p	RBMS3	0.66319126
hsa-miR-190a-3p	SCUBE1	0.6631316
hsa-miR-3142	ADRA2A	0.6631113
hsa-miR-33a-3p	NRP2	0.6630774
hsa-miR-524-5p	TAL1	0.66300094
hsa-miR-4695-3p	ADRA2A	0.662988
hsa-miR-141-3p	B3GNT5	0.66292095
hsa-miR-6887-3p	CADM4	0.6629119
hsa-miR-4782-3p	ELOVL7	0.66290385
hsa-miR-548an	ETS2	0.6629025
hsa-miR-12116	SWT1	0.6628538
hsa-miR-32-5p	PLXDC2	0.6628533
hsa-miR-4263	CRISPLD1	0.6628308
hsa-miR-548ai	HSPA4L	0.66282135
hsa-miR-3121-3p	GNB4	0.662817
hsa-miR-3123	SLC1A2	0.6628103
hsa-miR-520c-3p	MAN1A1	0.6627801
hsa-miR-1294	COL4A6	0.66276544
hsa-miR-889-3p	GJC1	0.6627577
hsa-let-7c-3p	ZIC2	0.66274256
hsa-miR-6823-5p	ATF3	0.6627385
hsa-miR-3167	LOX	0.66272044
hsa-miR-4796-3p	KLHL29	0.6627163
hsa-miR-3692-3p	SLC16A1	0.6627116
hsa-miR-524-5p	RAI14	0.66266704
hsa-miR-888-5p	CP	0.6626638
hsa-miR-548am-3p	ANO4	0.6626402
hsa-miR-19a-3p	ARHGAP11A	0.6625954
hsa-miR-548ap-5p	PCDH11Y	0.66257614
hsa-miR-340-5p	PALLD	0.6625714
hsa-miR-193a-3p	KIT	0.6625196
hsa-miR-548am-3p	EREG	0.6624901
hsa-miR-198	RBMS3	0.66247153
hsa-miR-129-2-3p	KIAA1217	0.6624526
hsa-miR-3942-3p	PTGER2	0.6624499
hsa-miR-3663-3p	CRISPLD2	0.66242737
hsa-miR-6738-3p	THSD7B	0.662401
hsa-miR-7853-5p	F13A1	0.66239303
hsa-miR-548aa	BCL11B	0.662314
hsa-miR-1248	PRDM1	0.6622306
hsa-miR-5692a	CDKN1A	0.6622295
hsa-miR-5100	GPCPD1	0.6622267
hsa-miR-4684-5p	ADGRG1	0.66220087
hsa-miR-548z	ROBO1	0.6621973
hsa-miR-3192-3p	SLC1A2	0.66215783
hsa-miR-4728-3p	TFPI	0.66211766
hsa-miR-5003-5p	HMOX1	0.66211396
hsa-miR-6895-3p	PALM2AKAP2	0.6620994
hsa-miR-371b-5p	VIP	0.6620292
hsa-miR-499a-5p	TMEM100	0.66201544
hsa-miR-4671-3p	EDA	0.6619826
hsa-miR-548z	LOXL2	0.6619821
hsa-miR-5011-5p	YAP1	0.66197264
hsa-miR-5700	PRKD1	0.6619632
hsa-miR-1303	PYGO1	0.66192514
hsa-miR-3662	RANBP3L	0.6619229
hsa-miR-203a-3p	DCN	0.66190016
hsa-miR-6082	ROBO1	0.6618825
hsa-miR-1236-3p	NIBAN1	0.66187996
hsa-miR-3924	LRIG1	0.66187745
hsa-miR-335-3p	HSPA1B	0.6618722
hsa-miR-12123	MERTK	0.6618528
hsa-miR-145-5p	TNFRSF11B	0.66183615
hsa-miR-143-3p	EPB41L4A	0.66183287
hsa-miR-4666b	SAMD4A	0.6618149
hsa-miR-8083	PTPRD	0.66178906
hsa-miR-181c-5p	SRGAP2	0.66178316
hsa-miR-488-3p	ZBTB2	0.6617732
hsa-miR-4324	PLXNA2	0.661752
hsa-miR-324-3p	FREM2	0.661727
hsa-miR-4464	SLA	0.6617113
hsa-let-7b-3p	TFRC	0.66166496
hsa-miR-3646	RGS1	0.6616471
hsa-miR-6515-3p	CAVIN2	0.6616278
hsa-miR-24-3p	SNCAIP	0.6616274
hsa-miR-4495	ST8SIA1	0.66161066
hsa-miR-4666a-3p	ITGA6	0.661588
hsa-miR-2682-5p	SOX6	0.6615421
hsa-miR-4255	FAM149A	0.6615406
hsa-miR-300	SFRP2	0.66153103
hsa-miR-30a-5p	DLL4	0.6615011
hsa-miR-181a-5p	RYR3	0.66142887
hsa-miR-513a-3p	LRRC4C	0.6614254
hsa-miR-4799-5p	THSD4	0.6613861
hsa-miR-3121-3p	EGR1	0.66138154
hsa-miR-4659a-3p	RREB1	0.66134405
hsa-miR-3163	YAP1	0.66132754
hsa-miR-4499	MLC1	0.66132367
hsa-miR-4328	PAPSS2	0.6612983
hsa-miR-581	QRSL1	0.6612709
hsa-miR-513b-5p	ADAM28	0.661268
hsa-miR-206	TBX18	0.6612621
hsa-miR-216b-5p	FNDC3B	0.66124016
hsa-miR-513b-3p	TNFRSF11B	0.6611997
hsa-miR-4638-3p	TGFBR3	0.6611812
hsa-miR-548ae-5p	UGT8	0.6611797
hsa-miR-6809-3p	GPRIN3	0.66117316
hsa-miR-153-3p	SGCZ	0.6611691
hsa-miR-5692a	RGS16	0.66116315
hsa-miR-3529-3p	DACH1	0.6611484
hsa-miR-5195-3p	FOXO1	0.6611428
hsa-miR-12136	EPHA7	0.66110593
hsa-miR-129-5p	WNT5A	0.661087
hsa-miR-6867-5p	THSD7A	0.6610863
hsa-miR-493-5p	GRID2	0.6610774
hsa-miR-208b-5p	ZFP36L1	0.66107166
hsa-miR-3065-5p	LRRC25	0.66106385
hsa-miR-1283	EPSTI1	0.66104394
hsa-miR-1303	MID1	0.6610158
hsa-miR-3133	MYCT1	0.66094697
hsa-miR-6823-5p	SORCS1	0.6609345
hsa-miR-30d-3p	PHACTR2	0.6609107
hsa-miR-138-2-3p	TLL1	0.6608949
hsa-miR-5011-5p	CEBPB	0.66088825
hsa-miR-5006-5p	ZFHX4	0.6608367
hsa-miR-670-5p	CECR2	0.66083056
hsa-miR-409-3p	DLL4	0.66082066
hsa-miR-106a-5p	SYTL4	0.66079974
hsa-miR-4802-3p	COL15A1	0.66079205
hsa-miR-12135	TMEM119	0.660777
hsa-miR-3192-3p	CD24	0.66075975
hsa-miR-4493	FLI1	0.66074747
hsa-miR-1299	KCNIP4	0.66073644
hsa-miR-7161-5p	WDFY4	0.66071856
hsa-miR-8068	FANCC	0.66066307
hsa-miR-30d-3p	ROBO1	0.6606398
hsa-miR-199a-5p	TGFB2	0.6606088
hsa-miR-15a-5p	KCTD8	0.660552
hsa-miR-4803	NEFM	0.6605485
hsa-miR-3064-5p	IGFBP5	0.6605005
hsa-miR-4742-3p	GNG12	0.66049194
hsa-miR-380-3p	TCF7L2	0.66045064
hsa-miR-95-5p	EHD2	0.66043055
hsa-miR-5581-3p	COL25A1	0.6604208
hsa-miR-527	SEL1L3	0.6604103
hsa-miR-8485	FOXF2	0.66038316
hsa-miR-200c-3p	ERG	0.66035026
hsa-miR-548au-5p	LPP	0.6603319
hsa-miR-302c-5p	SLC7A11	0.66030395
hsa-miR-8084	CECR2	0.6602973
hsa-miR-3657	SHISA6	0.6602797
hsa-miR-4760-5p	ANOS1	0.6602796
hsa-miR-3935	PCSK5	0.6602555
hsa-miR-133a-3p	IQGAP2	0.6601683
hsa-miR-4796-3p	DUSP2	0.6601045
hsa-miR-505-5p	ATP1B2	0.660088
hsa-miR-30c-5p	NTNG1	0.66007215
hsa-miR-940	SOX6	0.66006655
hsa-miR-2113	KLHL13	0.66006523
hsa-miR-4296	MYOF	0.6600356
hsa-miR-3671	ARF6	0.6600316
hsa-miR-125a-5p	TBX4	0.6600304
hsa-miR-4251	ID1	0.6600167
hsa-miR-4269	ROBO2	0.6600135
hsa-miR-7156-3p	KIAA1217	0.6600114
hsa-miR-4803	SLC38A11	0.6600029
hsa-miR-153-5p	C8orf34	0.6600011
hsa-miR-137-3p	KCNMB2	0.65994495
hsa-miR-124-3p	SIX4	0.65986
hsa-miR-1275	SPRED3	0.65980387
hsa-miR-4703-5p	CCDC80	0.6597513
hsa-miR-548ad-5p	DNAJB4	0.6597376
hsa-miR-548o-5p	IGSF3	0.6597152
hsa-miR-5011-5p	PCSK5	0.65971494
hsa-miR-518a-5p	DPP10	0.65970176
hsa-miR-4307	RIMKLB	0.6596982
hsa-miR-548s	ZNF423	0.6596843
hsa-miR-212-3p	KCNN3	0.6596491
hsa-miR-3529-3p	HEG1	0.659641
hsa-miR-548ac	MCL1	0.65962964
hsa-miR-4288	TGFB2	0.65962684
hsa-miR-330-3p	ZNF423	0.6595337
hsa-miR-5193	PEG3	0.65951866
hsa-miR-3121-3p	SGCZ	0.6595107
hsa-miR-6881-3p	SLC30A1	0.65947086
hsa-miR-4503	BACE2	0.6594489
hsa-miR-520b-5p	ITPKB	0.6594177
hsa-miR-6889-3p	RBMS3	0.6594018
hsa-miR-4755-5p	BACE2	0.659386
hsa-miR-4531	ANTXR2	0.6593845
hsa-miR-1271-5p	ZFP36L1	0.65936434
hsa-miR-548ab	PREX2	0.6593638
hsa-miR-4668-5p	TGFBR1	0.65933925
hsa-miR-33a-5p	PHACTR2	0.65933776
hsa-miR-202-3p	COL27A1	0.65933394
hsa-miR-646	FGF2	0.6593205
hsa-miR-548f-3p	DCC	0.65928584
hsa-miR-2115-3p	ZNF516	0.6592837
hsa-miR-548z	PTPRZ1	0.659244
hsa-miR-3121-3p	TNF	0.6591926
hsa-miR-3646	IFI44L	0.6591869
hsa-miR-548ap-5p	SLC24A3	0.65917915
hsa-miR-543	VIP	0.6591641
hsa-miR-152-3p	CDC14A	0.65914303
hsa-miR-33a-3p	KCND2	0.65913486
hsa-miR-4255	AQP4	0.6591002
hsa-miR-548av-5p	SPON1	0.6590957
hsa-miR-605-5p	ADAMTS6	0.659073
hsa-miR-30a-5p	EDNRA	0.6590701
hsa-miR-4458	RGS16	0.65906745
hsa-miR-6751-5p	C1QB	0.6589877
hsa-miR-548h-5p	IGF2BP3	0.6589832
hsa-miR-4312	SCIN	0.6589777
hsa-miR-4786-3p	BCL11B	0.65897185
hsa-miR-124-3p	CLMP	0.6589577
hsa-miR-548bc	SOX9	0.6589494
hsa-miR-3163	FGF2	0.6589134
hsa-miR-708-3p	JARID2	0.658887
hsa-miR-3163	MYO16	0.6588806
hsa-miR-616-5p	NR5A2	0.65887654
hsa-miR-26b-3p	IKZF1	0.658874
hsa-miR-363-3p	GATA2	0.65886843
hsa-miR-517c-3p	DBN1	0.6588517
hsa-miR-3150b-3p	SGCZ	0.65877724
hsa-miR-4668-5p	ANOS1	0.65876895
hsa-miR-452-5p	TFAP2B	0.658753
hsa-miR-549a-5p	RAI14	0.65874535
hsa-miR-4776-3p	SDC1	0.6587447
hsa-miR-4427	MSI1	0.6587146
hsa-miR-449a	FGD6	0.65871185
hsa-miR-5003-3p	NEUROD1	0.6587055
hsa-miR-4312	S1PR3	0.6586998
hsa-miR-548ab	GABPB1	0.6586988
hsa-miR-548ay-5p	ADAMTS1	0.6586566
