mirna	target_gene	score
hsa-miR-548bb-3p	LOXL2	0.95387363
hsa-let-7f-5p	IGDCC4	0.9537549
hsa-miR-548j-3p	SCN9A	0.9535646
hsa-miR-548ar-3p	ZFHX4	0.95347077
hsa-miR-23a-3p	VGLL3	0.9534363
hsa-miR-548aq-3p	COL1A1	0.9530902
hsa-miR-206	FNDC3B	0.9529474
hsa-miR-548aj-3p	SCG2	0.9528937
hsa-miR-4495	EDNRA	0.9527387
hsa-miR-3180-5p	PCSK6	0.9526976
hsa-miR-23c	VCAN	0.9524393
hsa-miR-454-3p	PHACTR2	0.9524347
hsa-miR-548aj-3p	PYGO1	0.95241266
hsa-miR-4269	KCNIP1	0.9522093
hsa-miR-888-5p	TRIB1	0.9521904
hsa-miR-23a-3p	CALCRL	0.95207024
hsa-miR-548ar-3p	LTBP1	0.9520071
hsa-miR-1273h-5p	GFAP	0.95189196
hsa-miR-4272	GATA3	0.95182514
hsa-miR-4518	NKD1	0.95168376
hsa-miR-627-3p	IRAK3	0.9515822
hsa-miR-548x-3p	GJA3	0.9515226
hsa-miR-548t-3p	SEMA6A	0.9514722
hsa-miR-548i	TMTC1	0.9514406
hsa-miR-6785-5p	SDC3	0.9513094
hsa-miR-15a-5p	MASP1	0.95125955
hsa-miR-548x-3p	CALCRL	0.9511607
hsa-miR-181b-5p	MAMDC2	0.95111144
hsa-miR-548j-3p	PYGO1	0.9508925
hsa-miR-6844	VAV3	0.9508524
hsa-miR-4495	MAB21L1	0.95084816
hsa-miR-5690	PCDH17	0.9507554
hsa-miR-548x-3p	RIMKLB	0.95061123
hsa-miR-6780a-5p	CSF3R	0.95031595
hsa-miR-548h-5p	FNDC3B	0.95018774
hsa-miR-429	GEM	0.9501354
hsa-miR-548j-3p	IGFBP3	0.9500123
hsa-miR-548aj-3p	PALM2AKAP2	0.94993716
hsa-miR-23c	RBM47	0.9499337
hsa-miR-548aj-3p	RIMKLB	0.9498725
hsa-miR-545-5p	MAMDC2	0.9498542
hsa-miR-548as-3p	FOXP2	0.94979465
hsa-miR-6785-5p	ALPL	0.9496948
hsa-miR-514b-5p	PLXDC2	0.9495455
hsa-miR-206	JARID2	0.94952303
hsa-miR-514b-5p	PDE3B	0.9495135
hsa-miR-23c	LRIG1	0.9494503
hsa-miR-548ay-5p	TMTC1	0.9494304
hsa-miR-548aj-3p	ARHGAP29	0.9493753
hsa-miR-200b-3p	LOX	0.9492443
hsa-miR-12131	LPL	0.9491737
hsa-miR-4742-5p	PLXDC2	0.94906175
hsa-miR-450b-5p	PLXDC2	0.9490407
hsa-miR-590-3p	RIMKLB	0.9489256
hsa-miR-548aj-3p	THSD7B	0.94892347
hsa-miR-590-3p	SLC7A11	0.94892025
hsa-miR-4657	ATP8B4	0.94879794
hsa-miR-23a-3p	SLC4A4	0.9487281
hsa-miR-548j-3p	RIMKLB	0.9486345
hsa-miR-548ae-3p	GJA3	0.9484482
hsa-miR-6879-5p	SDC3	0.9484028
hsa-miR-548ap-3p	IKZF1	0.94836116
hsa-miR-23c	TNFAIP3	0.9481664
hsa-miR-206	FN1	0.948058
hsa-miR-4530	LIN9	0.94805384
hsa-miR-4470	NAMPT	0.9480333
hsa-miR-4495	RBM47	0.9479755
hsa-miR-1277-5p	FNDC3B	0.9479122
hsa-miR-206	SOX9	0.9478949
hsa-miR-1277-5p	EPHA7	0.9478356
hsa-miR-205-3p	XYLT1	0.9478197
hsa-miR-590-3p	SCN9A	0.9478197
hsa-miR-23c	FBN2	0.9477084
hsa-miR-5582-5p	ADRA2A	0.9476966
hsa-miR-5582-5p	FNDC3B	0.9476319
hsa-miR-23a-3p	FBN2	0.9474307
hsa-miR-6881-3p	SDC3	0.94733214
hsa-miR-548x-3p	ROR1	0.9472548
hsa-miR-30e-5p	ADRA2A	0.947192
hsa-miR-181b-5p	TNF	0.94711363
hsa-miR-6844	IRX3	0.94708365
hsa-miR-548ap-3p	EPHA7	0.94707984
hsa-miR-4775	RBMS3	0.94694126
hsa-miR-206	SLC7A2	0.94693613
hsa-miR-590-3p	TMEM47	0.94693595
hsa-miR-23a-3p	HAS2	0.9468426
hsa-miR-3167	S100Z	0.9467975
hsa-miR-181b-5p	PAWR	0.94676185
hsa-miR-548ap-3p	RBMS3	0.94674784
hsa-miR-548x-3p	THSD7B	0.9466442
hsa-miR-429	DGKH	0.9466053
hsa-miR-23c	ANO4	0.9463773
hsa-miR-548j-3p	ROR1	0.9463647
hsa-miR-548j-3p	SOX6	0.9462226
hsa-miR-3658	SOX6	0.94619626
hsa-miR-6130	POU2AF1	0.94600976
hsa-miR-548aj-3p	RBMS3	0.94568586
hsa-miR-1277-5p	COL27A1	0.9456191
hsa-miR-181b-5p	DCN	0.9455719
hsa-miR-548aq-3p	IGFBP3	0.94551414
hsa-miR-136-5p	PRLR	0.9455121
hsa-miR-548ar-3p	ARHGAP6	0.9454053
hsa-miR-23c	ADAMTS6	0.94532937
hsa-miR-548x-3p	TLL1	0.9451169
hsa-miR-4495	SLC7A11	0.9450822
hsa-miR-6780a-5p	MYO10	0.9450066
hsa-miR-548a-3p	PAG1	0.9448958
hsa-miR-6780a-5p	SAMD4A	0.9447461
hsa-miR-4699-3p	ADRA2A	0.944722
hsa-miR-548aj-3p	PLAT	0.94461614
hsa-miR-302b-5p	PALM2AKAP2	0.9446118
hsa-miR-23a-3p	SOX6	0.94459295
hsa-miR-548aj-3p	GNB4	0.9445505
hsa-miR-3167	SEMA6A	0.94449735
hsa-miR-498-5p	DUSP4	0.9444849
hsa-miR-23c	EBF3	0.9444504
hsa-miR-6780a-5p	COL27A1	0.9444298
hsa-miR-12131	COL4A1	0.944426
hsa-miR-11399	IRF2BPL	0.9443926
hsa-miR-6867-5p	SEMA6A	0.9443517
hsa-miR-23a-3p	TRHDE	0.94413877
hsa-miR-24-3p	TMTC1	0.94412404
hsa-miR-181b-5p	DNAJA4	0.944016
hsa-miR-548aj-3p	COL1A1	0.94383836
hsa-miR-4534	SPAG17	0.94373804
hsa-miR-3150a-3p	BARHL1	0.9437292
hsa-miR-4728-5p	COL5A3	0.9436874
hsa-miR-3714	IGDCC4	0.94368535
hsa-miR-4495	TFAP2B	0.94365185
hsa-miR-7151-3p	SDC3	0.94363284
hsa-miR-8065	ATP11C	0.94356364
hsa-miR-4728-5p	ATP1B2	0.9433737
hsa-miR-6715b-5p	KCNIP1	0.9433672
hsa-miR-6780a-5p	LYN	0.94331515
hsa-miR-548x-3p	TFPI2	0.94330907
hsa-miR-514b-5p	GNG2	0.9432673
hsa-miR-6873-3p	DISC1	0.943166
hsa-miR-3529-3p	SEMA6A	0.9431418
hsa-miR-23c	EOMES	0.9430466
hsa-miR-106a-5p	PBX3	0.94304216
hsa-miR-23c	GRK5	0.9430042
hsa-miR-4659b-3p	IGDCC4	0.94297296
hsa-miR-3180-5p	MAMDC2	0.94293517
hsa-miR-19a-5p	PLXDC2	0.9428989
hsa-miR-429	GJC1	0.94279677
hsa-miR-548aj-3p	ZBTB2	0.9425213
hsa-miR-6875-3p	PID1	0.9424164
hsa-miR-548c-3p	SOX6	0.9423245
hsa-miR-4495	MAP3K1	0.9423208
hsa-miR-23c	RAI14	0.9420495
hsa-miR-3689b-3p	KCNIP1	0.94204795
hsa-miR-23c	CALCRL	0.9420417
hsa-miR-495-3p	COL4A1	0.941835
hsa-miR-548bb-3p	SCG2	0.941825
hsa-miR-429	RDH10	0.9416875
hsa-miR-3180-5p	ZFHX4	0.94166267
hsa-miR-548x-3p	RBMS3	0.9415842
hsa-miR-4495	SEMA3E	0.9415395
hsa-miR-548aq-3p	COL4A1	0.94137263
hsa-miR-153-5p	TMTC1	0.9412803
hsa-miR-4782-5p	ABCC9	0.9411398
hsa-miR-548j-3p	THSD7B	0.9410923
hsa-miR-429	SEMA3F	0.9410812
hsa-miR-1277-5p	PELI1	0.9410768
hsa-miR-4731-3p	MSR1	0.9410648
hsa-miR-4495	SAMD4A	0.94104767
hsa-miR-5191	GNB4	0.94094515
hsa-miR-3662	WNT5A	0.9409424
hsa-miR-429	PTHLH	0.94090104
hsa-miR-30c-5p	RRAD	0.9408184
hsa-miR-223-3p	FOXO1	0.9407491
hsa-miR-4533	SDK1	0.94070333
hsa-miR-548ap-3p	CNTN5	0.94068855
hsa-miR-23a-3p	RCN1	0.94068635
hsa-miR-23c	RCN1	0.94063115
hsa-miR-548e-3p	ZFHX4	0.9406028
hsa-miR-3675-3p	TENM3	0.94060016
hsa-miR-4728-5p	FLT4	0.94058615
hsa-miR-4463	ZNF124	0.94052917
hsa-miR-548aj-3p	SOX6	0.9404071
hsa-miR-4530	SHISA6	0.94031495
hsa-miR-6867-5p	TP53I11	0.9402657
hsa-miR-4495	VGLL3	0.94024473
