mirna	Astrocyte	B_cell	CD4_T	CD8_T	Microglia	Monocyte	NK_cell	Oligodendrocyte	T_cell	Th17	Treg
hsa-miR-1-3p	6.617229519179091e-05	6.359789404086769e-05	0.00012747244909405708	0.00010468704567756504	8.397899364354089e-05	3.376635140739381e-05	5.155952021596022e-05	4.4934531615581363e-05	2.784199023153633e-05	5.096008680993691e-05	5.006035280530341e-05
hsa-miR-1-5p	3.3051833270292263e-06	3.7113570670044282e-06	2.0383588434924604e-06	4.180681571597233e-06	5.14639395987615e-06	6.501231382571859e-06	9.316914656665176e-06	6.4781520450196695e-06	1.960274403245421e-06	5.085174962005112e-06	3.3150868148368318e-06
hsa-miR-100-3p	4.349702976469416e-06	5.121536560181994e-06	7.140893558243988e-06	7.83444193075411e-06	6.7268779275764246e-06	3.682003580252058e-06	7.4451677392062265e-06	8.140974387060851e-06	4.786596946360078e-06	7.625175840075826e-06	8.907646588340867e-06
hsa-miR-100-5p	2.720541033340851e-06	6.854840648884419e-06	1.395126400893787e-05	4.775889010488754e-06	3.988720436609583e-06	2.8679912702500587e-06	6.407255568774417e-06	5.696532298316015e-06	1.0974004908348434e-05	1.9790127225860488e-06	3.890033440256957e-06
hsa-miR-101-2-5p	1.4101256056164857e-06	2.1836574148892396e-07	1.2210377917654114e-06	1.9383123799343593e-06	2.818983659835794e-07	3.5763730465987464e-07	1.5395410173368873e-06	9.897291874949588e-08	8.500457511217974e-07	1.7237091469723964e-06	7.148285021685297e-07
hsa-miR-101-3p	7.266432476171758e-06	8.640421583550051e-06	8.77373167895712e-06	1.5847293980186805e-05	1.0823252523550764e-05	9.045402293850202e-06	1.0368573384766933e-05	9.170270459435415e-06	6.21243361820234e-06	8.658475053380243e-06	1.1765362614823971e-05
hsa-miR-101-5p	1.4748758076166268e-05	2.8680973628070205e-05	3.300997195765376e-05	6.16388933849521e-05	4.25325779360719e-05	1.9270995835540816e-05	3.159346670145169e-05	2.762631993391551e-05	1.5796271327417344e-05	8.312222780659795e-05	2.539074375818018e-05
hsa-miR-10226	4.402464128361316e-06	3.5285388548800256e-06	2.909743216150673e-06	1.9627636902441736e-06	3.3307417197647737e-06	2.558423375376151e-06	2.677004204088007e-06	6.137114723969717e-06	4.464559424377512e-06	1.3443706166071934e-06	5.47882200407912e-06
hsa-miR-10392-3p	1.3741540897171944e-05	4.428365355124697e-05	5.139315817359602e-06	1.715781763778068e-05	1.3593680705525912e-05	1.9249166143708862e-05	1.7687878425931558e-05	1.567364961374551e-05	1.0086148904520087e-05	3.3717264159349725e-05	2.103007136611268e-05
hsa-miR-10393-3p	1.54867102537537e-05	7.843578714528121e-06	1.1490670658531599e-05	2.0368523109937087e-05	1.1314117728034034e-05	7.931164873298258e-06	7.171016932261409e-06	5.401507678470807e-06	1.0198678864981048e-05	4.133732545597013e-06	5.458439318317687e-06
hsa-miR-10393-5p	1.1579231795622036e-05	1.6070333003881387e-05	2.002345172513742e-05	2.7464375307317823e-05	2.811515878420323e-05	2.0819734345423058e-05	1.6680947737768292e-05	1.483970208937535e-05	3.30660623149015e-05	1.4101528904575389e-05	3.7089794204803184e-05
hsa-miR-10394-3p	9.501889763896543e-08	9.4898140901023e-08	1.7836110544067196e-07	6.982072875416634e-08	1.0927115567938017e-07	6.649422346072242e-08	1.1894520923760865e-07	2.4396236142365524e-08	1.774834572643158e-07	9.30956645106562e-08	1.561594160648383e-07
hsa-miR-10394-5p	1.8853919755201787e-05	8.545039236196317e-06	2.784075513773132e-05	1.3492823200067505e-05	1.44192290463252e-05	1.2942677130922675e-05	1.5152049854805227e-05	8.825668373901863e-06	8.765319762460422e-06	1.466077083023265e-05	1.0455695701239165e-05
hsa-miR-10395-3p	5.523535946849734e-06	8.518679351254832e-06	2.64579784925445e-06	4.344619810581207e-06	2.994389660671004e-06	4.304698450141586e-06	1.7074685274565127e-06	4.737409653898794e-06	4.197508133074734e-06	1.814915208342427e-06	2.7721921469492372e-06
hsa-miR-10395-5p	1.863472562035895e-06	7.954761827022594e-07	1.1946722224820405e-06	5.998758751957212e-06	1.017608042275242e-06	1.4532116665577632e-06	1.8701621229411103e-06	1.6060312191257253e-06	8.403965239267563e-07	3.142760306218406e-06	1.3495025541487848e-06
hsa-miR-10396a-5p	5.836121772517799e-07	1.7983284124056809e-06	1.9556587176339235e-06	1.0960126246573054e-06	3.898613556430064e-07	8.145750030053023e-07	3.513604269755888e-07	5.451470883599541e-07	1.964422381206532e-06	3.674826700716949e-07	1.261454599443823e-06
hsa-miR-10397-3p	2.526902790123131e-06	2.5092267605941743e-06	3.721569555636961e-06	2.657673121575499e-06	2.8585418476723135e-06	3.1409440452989656e-06	5.024504389439244e-06	5.354629593057325e-06	2.3603915906278417e-06	2.7604678507486824e-06	1.6097346815513447e-06
hsa-miR-10397-5p	3.017081689904444e-05	2.060360202449374e-05	1.3183452210796531e-05	4.5700955524807796e-05	1.192989839182701e-05	7.156111678341404e-06	3.039823059225455e-05	1.3604664673039224e-05	5.2601708375732414e-06	1.3290079550642986e-05	9.748524462338537e-06
hsa-miR-10398-5p	0.00019038142636418343	0.00015824857109691948	0.000151616390212439	0.0007339531439356506	0.000533294805791229	0.0001386413787258789	0.0005989360506646335	1.3750662219536025e-05	6.604324153158814e-05	1.2441645594662987e-05	0.00040285912109538913
hsa-miR-10399-3p	0.03794095292687416	0.009776727296411991	0.04854618385434151	0.004073490388691425	0.01275645848363638	0.02170903980731964	0.023489313200116158	0.008983786217868328	0.01237888541072607	0.007672847714275122	0.00368267809972167
hsa-miR-10399-5p	1.868026993179228e-05	1.502538361819461e-05	4.222640927764587e-05	3.565869701560587e-05	3.0296117984107696e-05	1.8891085346695036e-05	1.2201642675790936e-05	1.4857072528684512e-05	1.1732718121493235e-05	1.4089744581724517e-05	1.1319792065478396e-05
hsa-miR-103a-1-5p	6.557466349477181e-06	7.900481250544544e-06	6.084354026825167e-06	1.2040563888149336e-05	6.8211552388675045e-06	6.0075230976508465e-06	3.7780191632919014e-06	7.77870536694536e-06	4.91844184580259e-06	8.409995643887669e-06	9.745454008225352e-06
hsa-miR-103a-2-5p	0.00010567728895694017	8.378158236155286e-05	0.00022469731629826128	9.526308713248e-05	0.00012217016774229705	0.0001821682380978018	1.7859918443718925e-05	4.3508840462891385e-05	0.00013028258399572223	4.812141924048774e-05	0.00019690832414198667
hsa-miR-103a-3p	9.666197001934052e-06	3.794918939092895e-06	1.0299976565875113e-05	1.1569047273951583e-05	1.1977609574387316e-05	5.118505214340985e-06	4.693467417382635e-06	3.6345677472127136e-06	5.653009338857373e-06	8.365946996491402e-06	4.179654297331581e-06
hsa-miR-103b	1.1128898904644302e-06	3.1134231903706677e-06	7.776585334795527e-06	4.830819761991734e-06	4.119074219488539e-06	5.752595825470053e-06	1.0212339475401677e-05	8.693894415046088e-06	4.493413143791258e-06	6.292240414040862e-06	9.570779866407975e-07
hsa-miR-10400-3p	1.5671353139623534e-06	7.306859970412916e-07	2.2014748992660316e-06	2.0855150069110096e-06	1.5403777524625184e-06	2.502890083633247e-06	1.454940047551645e-06	9.144139312411426e-07	3.729541504071676e-06	1.633332885830896e-06	2.086575022985926e-06
hsa-miR-10401-5p	3.45598382409662e-05	3.756645310204476e-05	1.1610341061896179e-05	3.895333793479949e-05	2.0509816749836318e-05	2.1560967070399784e-05	4.2842737457249314e-05	2.4327342543983832e-05	1.551034438307397e-05	3.156434468110092e-05	3.135538281640038e-05
hsa-miR-105-5p	2.1852567897440167e-06	3.558951220838935e-06	5.641616098728264e-06	3.4913218769361265e-06	1.6374206097680144e-06	2.6725376756076002e-06	4.165873178862967e-06	5.035761660110438e-06	3.4644981496967375e-06	2.3783547931088833e-06	3.8332200347213075e-06
hsa-miR-10522-5p	2.6333746063755825e-05	7.422218914143741e-06	1.888848601083737e-05	2.261796544189565e-05	2.41061752603855e-05	9.26010307011893e-06	1.8294857000000775e-05	1.0737217962741852e-05	4.161069591646083e-05	6.722821126459166e-06	9.493474863120355e-06
hsa-miR-10523-5p	1.2971464457223192e-05	8.22760739538353e-06	1.2836508176405914e-05	2.2142554371384904e-05	7.069569619488902e-06	1.2858824447903316e-05	1.8740474843070842e-05	7.224245564430021e-06	1.148785486293491e-05	1.5321262253564782e-05	2.5040959371835925e-05
hsa-miR-10524-5p	2.2627298676525243e-05	2.2788291971664876e-05	1.4202878446667455e-05	4.030115087516606e-05	1.7034675693139434e-05	1.7699805539450608e-05	3.351348277647048e-05	2.882356602640357e-05	1.988555959542282e-05	2.5747773179318756e-05	2.113480331900064e-05
hsa-miR-10525-3p	9.29665384319378e-06	1.2648720257857349e-06	2.3516895453212783e-05	3.002082848979626e-06	6.830442544014659e-06	2.4518062673450913e-06	9.430794307263568e-06	1.542198151582852e-05	4.1534331103321165e-06	1.005791546049295e-05	4.712095233116997e-06
hsa-miR-10526-3p	4.782871656061616e-06	4.266578798706178e-06	1.487979716330301e-05	1.1184273716935422e-05	6.434280294342898e-06	8.227446414821316e-06	1.9177368812961504e-05	1.1165288924530614e-05	5.331915872375248e-06	9.989541467803065e-06	6.352727723424323e-06
hsa-miR-10527-5p	8.83079701452516e-05	0.00011604817700572312	9.487461647950113e-05	0.00013760670844931155	0.00012701204104814678	4.079602149431594e-05	0.0001344433840131387	0.0001684282615315169	0.00017117668176069856	9.70294713624753e-05	5.649014929076657e-05
hsa-miR-106a-3p	1.1731954145943746e-05	8.948634786065668e-06	6.820637736382196e-06	3.116714651696384e-05	2.361599945288617e-05	1.895237437565811e-05	1.168982453236822e-05	2.4180644686566666e-05	8.917289051169064e-06	4.433744470588863e-05	9.964945093088318e-06
hsa-miR-106a-5p	0.0012790540931746364	0.0005583037855103612	0.0018163230270147324	0.00039094610838219523	0.0008288044482469559	0.0010316281113773584	0.0006923469481989741	0.0004596688086166978	0.0007392948027700186	0.0007763166213408113	0.0003899309376720339
hsa-miR-106b-5p	0.00012588538811542094	0.00024052936350926757	0.000326471752487123	0.00022952730068936944	0.00013342421152628958	0.00021607610688079149	0.00030023447470739484	0.00020218256395310163	0.00010532576561672613	7.371151150437072e-05	6.355442019412294e-05
hsa-miR-107	4.526350039668614e-06	2.9421239560178947e-06	6.147470230644103e-06	1.0314835890312679e-05	6.349671366479015e-06	3.060293920498225e-06	2.8436534194042906e-06	2.795229875118821e-06	2.5328208721475676e-06	4.860257831751369e-06	2.4707535430934513e-06
hsa-miR-10a-3p	9.412099643668626e-06	6.652223419223446e-06	1.0423745152365882e-05	2.0576631868607365e-05	7.213145636342233e-06	9.18998739507515e-06	1.8361421325607807e-06	4.263601113052573e-06	1.1501488188514486e-05	5.931861778663006e-06	5.734379556088243e-06
hsa-miR-10a-5p	2.1350997485569678e-05	5.837245225848164e-06	2.9298746085260063e-05	2.418896292510908e-05	2.7409485483076423e-05	1.2033598977723159e-05	1.5997113223420456e-05	8.7080588855315e-06	9.758930900716223e-06	3.0451343263848685e-05	1.0113941243616864e-05
