mirna	target_gene	score	cell_type
hsa-miR-4659b-3p	PRDM1	0.8770307	Th17
hsa-miR-551b-5p	GABRG1	0.8758327	Th17
hsa-miR-140-5p	PRDM1	0.87508667	Th17
hsa-miR-200b-3p	CHSY1	0.87447304	Th17
hsa-miR-548aq-3p	FGFR3	0.8742279	Th17
hsa-miR-200b-3p	TRHDE	0.8712963	Th17
hsa-miR-551b-5p	MAB21L1	0.8712656	Th17
hsa-miR-3180-5p	PADI2	0.8712588	Th17
hsa-miR-3163	TFPI	0.87066597	Th17
hsa-miR-551b-5p	IQGAP2	0.8705512	Th17
hsa-miR-551b-5p	SAMD4A	0.8704178	Th17
hsa-miR-551b-5p	RND3	0.8698206	Th17
hsa-miR-3180-5p	TNFRSF1A	0.8674966	Th17
hsa-miR-200b-3p	DACH1	0.8674243	Th17
hsa-miR-3180-5p	SLC1A2	0.8663119	Th17
hsa-miR-3180-5p	SNX7	0.86608267	Th17
hsa-miR-4659b-3p	RIMKLB	0.8654819	Th17
hsa-miR-200b-3p	FSTL1	0.8653986	Th17
hsa-miR-548aq-3p	SCN9A	0.86503524	Th17
hsa-miR-3180-5p	QRSL1	0.86384475	Th17
hsa-miR-585-5p	SPARC	0.8631871	Th17
hsa-miR-548aq-3p	FSTL1	0.8621594	Th17
hsa-miR-548aq-3p	PYGO1	0.8620616	Th17
hsa-miR-146a-3p	VAV3	0.8620221	Th17
hsa-miR-3163	IRAK3	0.8614598	Th17
hsa-miR-548aq-3p	CCL3L3	0.86046517	Th17
hsa-miR-200b-3p	RIPK2	0.8604141	Th17
hsa-miR-551b-5p	S1PR1	0.8594334	Th17
hsa-miR-202-3p	PEG10	0.85885775	Th17
hsa-miR-200b-3p	CRH	0.85812324	Th17
hsa-miR-3163	MAMDC2	0.8568093	Th17
hsa-miR-548aq-3p	PTH2R	0.85606724	Th17
hsa-miR-4659b-3p	DACH1	0.8559846	Th17
hsa-miR-4659b-3p	ST8SIA4	0.8552932	Th17
hsa-miR-200b-3p	HS3ST3A1	0.8549847	Th17
hsa-miR-3180-5p	KLHL13	0.8547912	Th17
hsa-miR-548aq-3p	VGLL3	0.8534019	Th17
hsa-miR-548aq-3p	GNB4	0.8501151	Th17
hsa-miR-4659b-3p	NR5A2	0.85001713	Th17
hsa-miR-371b-5p	PYGO1	0.84818095	Th17
hsa-miR-4659b-3p	MEDAG	0.8471938	Th17
hsa-miR-371b-5p	FRZB	0.84647405	Th17
hsa-miR-3163	ITGA8	0.8461291	Th17
hsa-miR-200b-3p	BCL11B	0.8453302	Th17
hsa-miR-551b-5p	ANGPT1	0.8452873	Th17
hsa-miR-200b-3p	SULF1	0.84508765	Th17
hsa-miR-4659b-3p	IL1R1	0.8437288	Th17
hsa-miR-548aq-3p	PALM2AKAP2	0.84316736	Th17
hsa-miR-4659b-3p	PCDH15	0.8403132	Th17
hsa-miR-548aq-3p	SOX2	0.8393313	Th17
hsa-miR-3180-5p	CD36	0.83889794	Th17
hsa-miR-202-3p	RCN1	0.83791476	Th17
hsa-miR-200b-3p	FLI1	0.8367596	Th17
hsa-miR-551b-5p	SLA2	0.835981	Th17
hsa-miR-1283	PDZRN3	0.8322046	Th17
hsa-miR-6872-3p	SH3BGR	0.83178264	Th17
hsa-miR-3163	KIT	0.8303091	Th17
hsa-miR-4659b-3p	ADAMTS6	0.82881397	Th17
hsa-miR-3163	MOXD1	0.828749	Th17
hsa-miR-140-5p	ROR1	0.82864004	Th17
hsa-miR-200b-3p	ANKRD44	0.82764643	Th17
hsa-miR-551b-5p	MAP3K7CL	0.82551163	Th17
hsa-miR-551b-5p	GABPB1	0.82528895	Th17
hsa-miR-548aq-3p	CECR2	0.8246616	Th17
hsa-miR-140-5p	ANO6	0.8240785	Th17
hsa-miR-371b-5p	RIMKLB	0.823205	Th17
hsa-miR-548aq-3p	RBM47	0.8229856	Th17
hsa-miR-3163	LOX	0.82293713	Th17
hsa-miR-4659b-3p	CA10	0.82274336	Th17
hsa-miR-548aq-3p	GAS1	0.82239693	Th17
hsa-miR-3180-5p	NOX4	0.82135993	Th17
hsa-miR-1283	OLR1	0.8210781	Th17
hsa-miR-6830-5p	PALM2AKAP2	0.82046115	Th17
hsa-miR-3163	MEX3A	0.81998026	Th17
hsa-miR-6513-3p	ATP10A	0.81854934	Th17
hsa-miR-1283	HES1	0.8177192	Th17
hsa-miR-551b-5p	ARF6	0.81725407	Th17
hsa-miR-202-3p	COL4A2	0.817056	Th17
hsa-miR-551b-5p	IGF2BP3	0.8167741	Th17
hsa-miR-200b-3p	SLC1A2	0.81643164	Th17
hsa-miR-200b-3p	ARHGAP6	0.8147887	Th17
hsa-miR-4659b-3p	EBF1	0.81432974	Th17
hsa-miR-585-5p	KIAA1217	0.8137628	Th17
hsa-miR-548aq-3p	MYC	0.8135272	Th17
hsa-miR-6513-3p	MCC	0.8134041	Th17
hsa-miR-200b-3p	KYNU	0.8128022	Th17
hsa-miR-4659b-3p	EYS	0.8123636	Th17
hsa-miR-3180-5p	CD86	0.8118165	Th17
hsa-miR-548aq-3p	FOXP2	0.8110197	Th17
hsa-miR-548aq-3p	YES1	0.8109169	Th17
hsa-miR-548aq-3p	ARHGAP29	0.81073195	Th17
hsa-miR-3163	MYO10	0.80809444	Th17
hsa-miR-3163	PLXDC2	0.8073035	Th17
hsa-miR-3163	TNR	0.80720055	Th17
hsa-miR-4659b-3p	CALCRL	0.80621296	Th17
hsa-miR-548aq-3p	NOTCH2	0.8059422	Th17
hsa-miR-200b-3p	ERG	0.8047908	Th17
hsa-miR-1283	THSD7B	0.8022075	Th17
hsa-miR-4659b-3p	RSPO3	0.8015464	Th17
hsa-miR-200b-3p	KLF6	0.801535	Th17
hsa-miR-200b-3p	FN1	0.79974073	Th17
hsa-miR-200b-3p	SRGAP1	0.7985181	Th17
hsa-miR-140-5p	IGFBP5	0.79729676	Th17
hsa-miR-548aq-3p	SLC7A11	0.7969077	Th17
hsa-miR-5580-3p	PFN2	0.79659826	Th17
hsa-miR-548aq-3p	ST6GAL1	0.79619825	Th17
hsa-miR-3163	APOLD1	0.79599065	Th17
hsa-miR-3180-5p	HTR2C	0.7958537	Th17
hsa-miR-4659b-3p	PMCH	0.7958472	Th17
hsa-miR-4659b-3p	PLXNA4	0.79579675	Th17
hsa-miR-200b-3p	CHRM2	0.7952675	Th17
hsa-miR-200b-3p	SLIT2	0.79488105	Th17
hsa-miR-585-5p	ANKRD13B	0.79487544	Th17
hsa-miR-371b-5p	EMP2	0.79484874	Th17
hsa-miR-3163	PELI1	0.7941732	Th17
hsa-miR-4659b-3p	CDC14A	0.79328215	Th17
hsa-miR-1283	PTPRZ1	0.79319745	Th17
hsa-miR-3163	VAV3	0.7927184	Th17
hsa-miR-4659b-3p	ID4	0.79263115	Th17
hsa-miR-1283	SOD2	0.7925078	Th17
hsa-miR-4438	TFPI	0.7914717	Th17
hsa-miR-200b-3p	MATR3	0.7913985	Th17
hsa-miR-1283	MAP3K1	0.79113	Th17
hsa-miR-4659b-3p	SLC4A4	0.7909142	Th17
hsa-miR-4659b-3p	CRIM1	0.7897921	Th17
hsa-miR-6513-3p	MAB21L1	0.78926843	Th17
hsa-miR-3163	CGNL1	0.78868705	Th17
hsa-miR-3163	KITLG	0.7872761	Th17
hsa-miR-5580-3p	PHACTR2	0.78508496	Th17
hsa-miR-548aq-3p	GPC6	0.78498346	Th17
hsa-miR-371b-5p	ITGAX	0.78435045	Th17
hsa-miR-200b-3p	RND3	0.7829694	Th17
hsa-miR-3180-5p	TENM3	0.7809908	Th17
hsa-miR-4659b-3p	SAMD4A	0.7783584	Th17
hsa-miR-4659b-3p	COL4A4	0.7771766	Th17
hsa-miR-551b-5p	RASSF8	0.77704805	Th17
hsa-miR-551b-5p	ZFHX4	0.7766585	Th17
hsa-miR-4659b-3p	DIO2	0.77627814	Th17
hsa-miR-371b-5p	ZNF286B	0.77616096	Th17
hsa-miR-3163	NEUROD1	0.77533567	Th17
hsa-miR-200b-3p	GLI3	0.7703967	Th17
hsa-miR-548aq-3p	IQGAP2	0.77000785	Th17
hsa-miR-3680-3p	SOX6	0.96989286	Treg
hsa-miR-3680-3p	RBMS3	0.9557634	Treg
hsa-miR-3180-5p	PCSK6	0.9526976	Treg
hsa-miR-200b-3p	LOX	0.9492443	Treg
hsa-miR-4659b-3p	IGDCC4	0.94297296	Treg
hsa-miR-3180-5p	MAMDC2	0.94293517	Treg
hsa-miR-3180-5p	ZFHX4	0.94166267	Treg
hsa-miR-3180-5p	BACE2	0.93673927	Treg
hsa-miR-3180-5p	BACH2	0.9360071	Treg
hsa-miR-3180-5p	OLR1	0.9338541	Treg
hsa-miR-200b-3p	PAG1	0.9317528	Treg
hsa-miR-200b-3p	ATP11C	0.9316501	Treg
hsa-miR-200b-3p	MAP3K1	0.92840636	Treg
hsa-miR-200b-3p	FNDC3B	0.925889	Treg
hsa-miR-3680-3p	PAG1	0.9252602	Treg
hsa-miR-3680-3p	SEMA6A	0.92245954	Treg
hsa-miR-4659b-3p	CYTL1	0.9184005	Treg
hsa-miR-3180-5p	PFN2	0.9088612	Treg
hsa-miR-200b-3p	KDR	0.9081903	Treg
hsa-miR-3180-5p	NEDD9	0.90816194	Treg
hsa-miR-140-5p	TGFBR1	0.9078973	Treg
hsa-miR-200b-3p	CECR2	0.90533453	Treg
hsa-miR-200b-3p	PRDM1	0.9041687	Treg
hsa-miR-3180-5p	ABTB2	0.90095323	Treg
hsa-miR-200b-3p	DGKH	0.90076524	Treg
hsa-miR-146a-3p	MASP1	0.90041083	Treg
hsa-miR-4659b-3p	NEUROD1	0.9003486	Treg
hsa-miR-19b-3p	ROR1	0.9002024	Treg
hsa-miR-19b-3p	SOX6	0.8988278	Treg
hsa-miR-200b-3p	NR5A2	0.8979632	Treg
hsa-miR-133a-3p	EMP2	0.8968021	Treg
hsa-miR-200b-3p	IGF2R	0.8965003	Treg
hsa-miR-3180-5p	NXPH1	0.896033	Treg
hsa-miR-3680-3p	MAP3K1	0.8954509	Treg
hsa-miR-3163	IGFBP3	0.8947471	Treg
hsa-miR-1283	HSPA1B	0.8947014	Treg
hsa-miR-4659b-3p	PLXDC2	0.8943622	Treg
hsa-miR-3680-3p	PALLD	0.89342535	Treg
hsa-miR-4659b-3p	TNFSF13B	0.8924447	Treg
hsa-miR-4659b-3p	RBMS3	0.89220226	Treg
hsa-miR-3680-3p	ZFP36L1	0.891416	Treg
hsa-miR-4659b-3p	COL4A1	0.88874197	Treg
hsa-miR-3180-5p	ADCY2	0.8874241	Treg
hsa-miR-25-3p	ITGA6	0.886938	Treg
hsa-miR-3680-3p	BACH2	0.8869078	Treg
hsa-miR-3680-3p	BCL11B	0.8866876	Treg
hsa-miR-3180-5p	TENM4	0.8861548	Treg
hsa-miR-200b-3p	GJC1	0.88507926	Treg
hsa-miR-19b-3p	IGFBP3	0.8838134	Treg
hsa-miR-3680-3p	RAI14	0.88213474	Treg
hsa-miR-17-5p	PBX3	0.87909603	Treg
hsa-miR-200b-3p	RASSF8	0.87894547	Treg
hsa-miR-19b-3p	GPCPD1	0.8784814	Treg
hsa-miR-17-5p	CD69	0.8783944	Treg
hsa-miR-4659b-3p	PRDM1	0.8770307	Treg
hsa-miR-140-5p	PRDM1	0.87508667	Treg
hsa-miR-200b-3p	CHSY1	0.87447304	Treg
hsa-miR-3680-3p	SLC2A3	0.8717196	Treg
hsa-miR-200b-3p	TRHDE	0.8712963	Treg
hsa-miR-3180-5p	PADI2	0.8712588	Treg
hsa-miR-3163	TFPI	0.87066597	Treg
hsa-miR-3680-3p	KCNN3	0.86993533	Treg
hsa-miR-3680-3p	CNTN5	0.86855954	Treg
hsa-miR-3180-5p	TNFRSF1A	0.8674966	Treg
hsa-miR-200b-3p	DACH1	0.8674243	Treg
hsa-miR-3180-5p	SLC1A2	0.8663119	Treg
hsa-miR-3180-5p	SNX7	0.86608267	Treg
hsa-miR-4659b-3p	RIMKLB	0.8654819	Treg
hsa-miR-200b-3p	FSTL1	0.8653986	Treg
hsa-miR-3180-5p	QRSL1	0.86384475	Treg
hsa-miR-585-5p	SPARC	0.8631871	Treg
hsa-miR-146a-3p	VAV3	0.8620221	Treg
hsa-miR-3163	IRAK3	0.8614598	Treg
hsa-miR-6837-5p	IL1RN	0.8607922	Treg
hsa-miR-19b-3p	NEUROD1	0.8605679	Treg
hsa-miR-200b-3p	RIPK2	0.8604141	Treg
hsa-miR-3680-3p	PCSK5	0.8596307	Treg
hsa-miR-3123	COL4A6	0.8592876	Treg
hsa-miR-3680-3p	FNDC3B	0.8592553	Treg
hsa-miR-202-3p	PEG10	0.85885775	Treg
hsa-miR-200b-3p	CRH	0.85812324	Treg
hsa-miR-3163	MAMDC2	0.8568093	Treg
hsa-miR-4659b-3p	DACH1	0.8559846	Treg
hsa-miR-4659b-3p	ST8SIA4	0.8552932	Treg
hsa-miR-200b-3p	HS3ST3A1	0.8549847	Treg
hsa-miR-3180-5p	KLHL13	0.8547912	Treg
hsa-miR-3123	PALM2AKAP2	0.852477	Treg
hsa-miR-4659b-3p	NR5A2	0.85001713	Treg
hsa-miR-3680-3p	CTTNBP2NL	0.848807	Treg
hsa-miR-25-3p	COL27A1	0.84721696	Treg
hsa-miR-4659b-3p	MEDAG	0.8471938	Treg
hsa-miR-3680-3p	ZBTB2	0.8466165	Treg
hsa-miR-3163	ITGA8	0.8461291	Treg
hsa-miR-200b-3p	BCL11B	0.8453302	Treg
hsa-miR-200b-3p	SULF1	0.84508765	Treg
hsa-miR-4659b-3p	IL1R1	0.8437288	Treg
hsa-miR-3123	LPP	0.842817	Treg
hsa-miR-25-3p	FZD10	0.8415198	Treg
hsa-miR-4659b-3p	PCDH15	0.8403132	Treg
hsa-miR-3680-3p	CNN3	0.8401091	Treg
hsa-miR-3680-3p	CBLB	0.8396071	Treg
hsa-miR-19b-3p	ARHGAP11A	0.83942336	Treg
hsa-miR-3180-5p	CD36	0.83889794	Treg
hsa-miR-202-3p	RCN1	0.83791476	Treg
hsa-miR-200b-3p	FLI1	0.8367596	Treg
hsa-miR-19b-3p	ATP10A	0.83317703	Treg
hsa-miR-17-5p	BCL11B	0.8327907	Treg
hsa-miR-1283	PDZRN3	0.8322046	Treg
hsa-miR-19b-3p	PFN2	0.83170885	Treg
hsa-miR-19b-3p	ZNF516	0.8308421	Treg
hsa-miR-3163	KIT	0.8303091	Treg
hsa-miR-3680-3p	USP6NL	0.82948136	Treg
hsa-miR-6837-5p	SBK1	0.8289529	Treg
hsa-miR-4659b-3p	ADAMTS6	0.82881397	Treg
hsa-miR-3163	MOXD1	0.828749	Treg
hsa-miR-140-5p	ROR1	0.82864004	Treg
hsa-miR-17-5p	HAS2	0.8283968	Treg
hsa-miR-19b-3p	MAP3K1	0.82804334	Treg
hsa-miR-19b-3p	SOX4	0.827825	Treg
hsa-miR-200b-3p	ANKRD44	0.82764643	Treg
hsa-miR-3123	BACH1	0.82682717	Treg
hsa-miR-17-5p	FAT2	0.82532173	Treg
hsa-miR-140-5p	ANO6	0.8240785	Treg
hsa-miR-3680-3p	PLXNA4	0.8238857	Treg
hsa-miR-3163	LOX	0.82293713	Treg
hsa-miR-4659b-3p	CA10	0.82274336	Treg
hsa-miR-3680-3p	MAOA	0.8224997	Treg
hsa-miR-19b-3p	FOXP2	0.8214491	Treg
hsa-miR-3180-5p	NOX4	0.82135993	Treg
hsa-miR-1283	OLR1	0.8210781	Treg
hsa-miR-3163	MEX3A	0.81998026	Treg
hsa-miR-1283	HES1	0.8177192	Treg
hsa-miR-202-3p	COL4A2	0.817056	Treg
hsa-miR-200b-3p	SLC1A2	0.81643164	Treg
hsa-miR-3680-3p	FGFR3	0.8155289	Treg
hsa-miR-3680-3p	ATP11C	0.8154793	Treg
hsa-miR-200b-3p	ARHGAP6	0.8147887	Treg
hsa-miR-17-5p	PDGFRA	0.8146958	Treg
hsa-miR-4659b-3p	EBF1	0.81432974	Treg
hsa-miR-585-5p	KIAA1217	0.8137628	Treg
hsa-miR-200b-3p	KYNU	0.8128022	Treg
hsa-miR-19b-3p	RBMS3	0.8127136	Treg
hsa-miR-4659b-3p	EYS	0.8123636	Treg
hsa-miR-3180-5p	CD86	0.8118165	Treg
hsa-miR-19b-3p	LIN9	0.8093933	Treg
hsa-miR-3163	MYO10	0.80809444	Treg
hsa-miR-19b-3p	MID1	0.8079348	Treg
hsa-miR-3680-3p	F2R	0.8078949	Treg
hsa-miR-3123	IKZF1	0.8074748	Treg
hsa-miR-3163	PLXDC2	0.8073035	Treg
hsa-miR-3163	TNR	0.80720055	Treg
hsa-miR-4659b-3p	CALCRL	0.80621296	Treg
hsa-miR-3123	PAG1	0.80618846	Treg
hsa-miR-200b-3p	ERG	0.8047908	Treg
hsa-miR-3680-3p	TENT5C	0.8034088	Treg
hsa-miR-1283	THSD7B	0.8022075	Treg
hsa-miR-4659b-3p	RSPO3	0.8015464	Treg
hsa-miR-200b-3p	KLF6	0.801535	Treg
hsa-miR-3680-3p	EDN1	0.79985386	Treg
hsa-miR-200b-3p	FN1	0.79974073	Treg
hsa-miR-200b-3p	SRGAP1	0.7985181	Treg
hsa-miR-17-5p	PLXDC2	0.7976439	Treg
hsa-miR-140-5p	IGFBP5	0.79729676	Treg
hsa-miR-25-3p	ITGA8	0.7968925	Treg
hsa-miR-5580-3p	PFN2	0.79659826	Treg
hsa-miR-3163	APOLD1	0.79599065	Treg
hsa-miR-3180-5p	HTR2C	0.7958537	Treg
hsa-miR-4659b-3p	PMCH	0.7958472	Treg
hsa-miR-4659b-3p	PLXNA4	0.79579675	Treg
hsa-miR-200b-3p	CHRM2	0.7952675	Treg
hsa-miR-200b-3p	SLIT2	0.79488105	Treg
hsa-miR-585-5p	ANKRD13B	0.79487544	Treg
hsa-miR-767-5p	COL5A3	0.7947746	Treg
hsa-miR-3163	PELI1	0.7941732	Treg
hsa-miR-4659b-3p	CDC14A	0.79328215	Treg
hsa-miR-1283	PTPRZ1	0.79319745	Treg
hsa-miR-3163	VAV3	0.7927184	Treg
hsa-miR-4659b-3p	ID4	0.79263115	Treg
hsa-miR-1283	SOD2	0.7925078	Treg
hsa-miR-200b-3p	MATR3	0.7913985	Treg
hsa-miR-19b-3p	TIA1	0.79119766	Treg
hsa-miR-1283	MAP3K1	0.79113	Treg
hsa-miR-4659b-3p	SLC4A4	0.7909142	Treg
hsa-miR-4659b-3p	CRIM1	0.7897921	Treg
hsa-miR-3163	CGNL1	0.78868705	Treg
hsa-miR-17-5p	PAG1	0.7874301	Treg
hsa-miR-3163	KITLG	0.7872761	Treg
hsa-miR-3680-3p	TFRC	0.78699654	Treg
hsa-miR-5580-3p	PHACTR2	0.78508496	Treg
hsa-miR-200b-3p	RND3	0.7829694	Treg
hsa-miR-3123	GPC6	0.7829386	Treg
hsa-miR-3180-5p	TENM3	0.7809908	Treg
hsa-miR-25-3p	RBM47	0.7808311	Treg
hsa-miR-17-5p	LRIG1	0.7804617	Treg
hsa-miR-25-3p	IQGAP2	0.7793119	Treg
hsa-miR-3680-3p	GEM	0.7789447	Treg
hsa-miR-4659b-3p	SAMD4A	0.7783584	Treg
hsa-miR-17-5p	TGFBR2	0.7782725	Treg
hsa-miR-4659b-3p	COL4A4	0.7771766	Treg
hsa-miR-3680-3p	KCNMB2	0.77714753	Treg
