model	val_loss	auroc	auprc	cell_acc	cell_f1
hgt_v2_best	0.1541	0.9836	0.9731	0.9961	0.9935
random	1.4245	nan	nan	0.0909	0.0799
mlp	0.0992	nan	nan	0.9254	0.8883
homo_gcn	0.1411	nan	nan	0.8945	0.8631
ablation_no_mirna	0.0159	nan	nan	0.9895	0.9821
ablation_no_coexpr	0.0118	nan	nan	0.9933	0.9889
