model	protocol	trained_with	link_loss	clf_loss	auroc_matched	auprc_matched	auroc_uniform	auprc_uniform	auroc_transd	cell_acc	cell_f1
hgt_v2	held_out	degree_matched	1.5294	0.1165	0.6080	0.6371	0.6029	0.6245	0.6027	0.9565	0.9301
random	held_out	degree_matched	0.8132	2.8338	0.4938	0.4932	0.5039	0.5019	0.5049	0.0891	0.0784
mlp	held_out	degree_matched	0.7102	0.2893	0.5202	0.5202	0.5120	0.5138	0.4929	0.8948	0.8559
homo_gcn	held_out	degree_matched	1.0532	0.3953	0.6236	0.6466	0.6504	0.6529	0.6802	0.8498	0.8114
ablation_no_mirna	held_out	degree_matched	0.0000	0.0260	nan	nan	nan	nan	nan	0.9923	0.9868
ablation_no_coexpr	held_out	degree_matched	1.9450	0.0896	0.6185	0.6452	0.5757	0.5981	0.5740	0.9675	0.9468
